,Time / Date,Active Time/Date,Area,Description,Device
6595,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,Timeout - Deposit position not ready  OK ,LP01
6596,2023-09-02 오전 11:37,2023-09-02 오전 11:37,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6600,2023-09-02 오전 11:36,2023-09-02 오전 11:36,LP01,Timeout - Deposit position not ready  OK ,LP01
6601,2023-09-02 오전 11:36,2023-09-02 오전 11:36,LP01,Timeout - Deposit position not ready  OK ,LP01
6604,2023-09-02 오전 11:36,2023-09-02 오전 11:36,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6607,2023-09-02 오전 11:35,2023-09-02 오전 11:34,LP01,Timeout - Deposit position not ready  OK ,LP01
6608,2023-09-02 오전 11:35,2023-09-02 오전 11:34,LP01,Timeout - Deposit position not ready  OK ,LP01
6609,2023-09-02 오전 11:34,2023-09-02 오전 11:34,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6614,2023-09-02 오전 11:33,2023-09-02 오전 11:32,LP01,Timeout - Deposit position not ready  OK ,LP01
6615,2023-09-02 오전 11:33,2023-09-02 오전 11:32,LP01,Timeout - Deposit position not ready  OK ,LP01
6619,2023-09-02 오전 11:32,2023-09-02 오전 11:32,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6627,2023-09-02 오전 11:31,2023-09-02 오전 11:31,LP01,Timeout - Deposit position not ready  OK ,LP01
6628,2023-09-02 오전 11:31,2023-09-02 오전 11:31,LP01,Timeout - Deposit position not ready  OK ,LP01
6629,2023-09-02 오전 11:31,2023-09-02 오전 11:31,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6632,2023-09-02 오전 11:30,2023-09-02 오전 11:30,LP01,Timeout - Deposit position not ready  OK ,LP01
6633,2023-09-02 오전 11:30,2023-09-02 오전 11:30,LP01,Timeout - Deposit position not ready  OK ,LP01
6635,2023-09-02 오전 11:30,2023-09-02 오전 11:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6656,2023-09-02 오전 11:28,2023-09-02 오전 11:27,LP01,Timeout - Deposit position not ready  OK ,LP01
6657,2023-09-02 오전 11:28,2023-09-02 오전 11:27,LP01,Timeout - Deposit position not ready  OK ,LP01
6662,2023-09-02 오전 11:27,2023-09-02 오전 11:27,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6672,2023-09-02 오전 11:26,2023-09-02 오전 11:26,LP01,Timeout - Deposit position not ready  OK ,LP01
6673,2023-09-02 오전 11:26,2023-09-02 오전 11:26,LP01,Timeout - Deposit position not ready  OK ,LP01
6674,2023-09-02 오전 11:26,2023-09-02 오전 11:26,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6679,2023-09-02 오전 11:25,2023-09-02 오전 11:24,LP01,Timeout - Deposit position not ready  OK ,LP01
6680,2023-09-02 오전 11:25,2023-09-02 오전 11:24,LP01,Timeout - Deposit position not ready  OK ,LP01
